Name,Brand,Notes
Biblioteca de Babel Eau de Parfum,Fueguia 1833," Cedar, cabreuva (woody note), cinnamon"
Panthea Eau de Parfum,Stephane Humbert Lucas 777," Bergamot, pink pepper, tangerine, elemi, white tea, carrot, iris, jasmine, violet, carnation, white musk, tobacco flower, tonka, sandalwood, patchouli"
Wish Come True Eau de Parfum,Stephane Humbert Lucas 777," Tangerine, bergamot, ylang-ylang, labdanum, incense, jasmine, ambergris, tuberose, vanilla, musk"
MEM Eau de Parfum,Bogue Profumo," Petitgrain, mandarin, grapefruit, lavender (4 different species), ylang ylang, lily of the valley, white champaca, jasmine grandiflorum, rose damascena, bourbon geranium, vanilla, peppermint, laurel, Siam benzoin, rosewood, sandalwood, Himalayan cedarwood, labdanum, ambergris, musk, castoreum, civet, amber"
Delma Eau de Parfum,Widian," Mandarin, peach, bergamot, heliotrope, jasmine, freesia, geranium, nutmeg, patchouli, saffron, leather, woody notes, marshmallow"
Liwa Eau de Parfum,Widian," Jasmine, saffron, bergamot, artemisia, amber, white rose, geranium, cedar, patchouli, sandalwood, incense"
Aqaysos Eau de Parfum,Pierre Guillaume Paris Black Collection," Lime, coriander, blackcurrant, sansho berry, woods, musks, cocoa beans"
Il Tempo delle Mele Eau de Parfum,Hilde Soliani," Milk, apple, vanilla"
Hot Milk Eau de Parfum,Hilde Soliani," Milk, hot pepper"
Carnicure (formerly L'animal sauvage) Eau de Parfum,Marlou," Orange blossom, violet, sandalwood, patchouli, civet, vanilla, sandalwood, musk, ambergris, labdanum"
Passion Eau de Parfum,M. Micallef," Orange, cinnamon, cashmeran, caramel, benzoin, sandalwood, musk, patchouli, oud"
Rahele Eau de Parfum,Neela Vermeire Creations," Green mandarin, cardamom, cinnamon, violet leaf, osmanthus, rose, magnolia, jasmin, iris, violet, cedar, sandalwood, oakmoss, patchouli, leather"
Sweet Parmesan Violet Eau de Parfum,Hilde Soliani," Violet, sugar"
Una Tira l'Altra Eau de Parfum,Hilde Soliani, Cherry
Oud Orange Intense Eau de Parfum,Fragrance du Bois," Coconut, fruits, bourbon vanilla, oud, musk"
Oud Noir Intense Eau de Parfum,Fragrance du Bois," bergamot, cardamom, rose, jasmine, sandalwood, saffron, patchouli, vanilla, musk, amber, pure agarwood (oud)"
Sahraa Oud Eau de Parfum,Fragrance du Bois," rose, geranium, jasmine, moss, patchouli, sandalwood, saffron, vanilla, amber, pure oud"
London Oud Eau de Parfum,Fragrance du Bois," lemon, bergamot, mint, lavender, jasmine, white flowers, marine notes, patchouli, cedar, nutmeg, cardamom, pure agarwood (oud)"
Oud Jaune Intense Eau de Parfum,Fragrance du Bois," Tahitian gardenia, ylang-ylang, pineapple, jasmine, orange blossom, oud, vanilla, lactones, musk"
Oud Bleu Intense Eau de Parfum,Fragrance du Bois," Cardamom, nutmeg, mandarin, frankincense, labdanum, myrrh oil, amber, pure oud oil, sweet myrrh, styrax, benzoin, myrrh resin"
Oud Rouge Intense Eau de Parfum,Fragrance du Bois," Pink pepper, lemon, cedar, patchouli, sandalwood, oud"
Verde di Persia Parfum Concentration,Farmacia SS. Annunziata dal 1561," Orange, lemon, cassis, green apple, davana, pistachio flower, rose, apricot, osmanthus, patchouli, rosewood, amber woods, musk"
20 Years Eau de Parfum,M. Micallef," Bergamot, nutmeg, exotic fruit, white rose, davana, orange flower, jasmine, geranium, patchouli, caramel, vanilla, precious wood, white musk"
Gold I Parfum Extrait,Widian," Apple, pepper, white flowers, oud, vanilla, musk, sandalwood, amber"
Queen Of The Night Eau de Parfum,Grandiflora," Citrus, berries, clove, orange blossom, jasmine sambac, ylang ylang, tuberose, gardenia, pittosporum, wisteria, mimosa, vanilla, musk"
Cafe Chantant Parfum Extrait,Nobile 1942," Black cherry, laurel, anise, heliotrope, altea, iris, benzoin, vanilla, patchouli, musk"
Taklamakan Eau de Parfum,Stephane Humbert Lucas 777," Bergamot, rose, patchouli coeur, black vanilla, tonka absolute, birch, cade, gaiac, cedar, myrrh, orris, tolu balsam, labdanum, ambreine, amber gris, benzoin, sandalwood, musk"
"Eye, Hatshepsut Eau de Parfum",Charenton Macerations," Papyrus, blue lotus, smoke, burnt tallow, kohl, cinnamon, honeyed wine, orris butter, patchouli, incense, labdanum, Egyptian musk"
Perdizione Eau de Parfum,Nobile 1942," Grapefruit, bergamot, lavender, ylang-ylang, rose, orange blossom, neroli petitgrain, cedar, vanilla, musk"
Sandalo Nobile Eau de Parfum,Nobile 1942," Saffron, cumin seed, iris, fig wood, gurjum, sandalwood, benzoin, white musk, cedar"
On The Road Eau de Parfum,Timothy Han Edition Perfumes," Galbanum, lemon, bergamot, lavandin, amyris, cedarwood, patchouli, tonka bean, oakmoss, gaiac, benzoin, birch, vanilla, labdanum, perou"
Black V Parfum Extrait,Widian," Lemon, peach, cinnamon, tuberose, orange blossom, solar accord, cedar, caramel, vanilla"
Incarnata Eau de Parfum,Anatole Lebreton," Raspberry, violet, rhododendron, lipstick, iris, myrrh, rose, amber, suede, benzoin, vanilla"
La Haine Eau de Parfum,Moth and Rabbit," aldehyde, buchu leaf, bay, birch, cedar, metallic accord, leather, moss, musk"
Madagascan Jasmine Eau de Parfum,Grandiflora,"jasmine, citrus"
La Danza delle Libellule Exceptional Edition Parfum Extrait,Nobile 1942," Bergamot, red apple, cedar, cinnamon, musk, vanilla, coconut"
Salome Eau de Parfum,Papillon Artisan Perfumes," Jasmine, carnation, bitter red orange, Turkish rose, orange blossom, tobacco, hyraceum, styrax, vanilla, hay, patchouli, bergamot, oakmoss, cumin, birch tar, castoreum"
Black I Parfum Extrait,Widian," Cardamom, cinnamon, incense, cypress, sandalwood, cedar, musk"
Black II Parfum Extrait,Widian," Plum, Mandarin, Rose, Sandalwood, Musk, Vanilla, Moss"
Black III Parfum Extrait,Widian," Bergamot, spearmint, leather, dry wood, vanilla, moss, patchouli, sandalwood"
Black IV Parfum Extrait,Widian," Bergamot, blackcurrant, prune, rose, white flowers, vanilla, musk, leather, sandalwood"
Goddess of Love & Perfume Parfum Extrait,4160 Tuesdays," Plum, peach, wild strawberry, blackcurrant, raspberry, grapefruit, yuzu, oakmoss, opoponax, bergamot, patchouli, rose, jasmine, lily of the valley, vanilla, vintage musk"
L'Eau Scandaleuse Eau de Parfum,Anatole Lebreton," Bergamot, peach, davana, tuberose, ylang ylang, leather, castoreum, cypriol, oakmoss"
Bois Lumiere Eau de Parfum,Anatole Lebreton," Corsican juniper, clary sage, mandarin, fir balsam, honey, rose, carnation, immortelle, beeswax, atlas cedar, benzoin"
Maxed Out Parfum Extrait,4160 Tuesdays," Rum, coconut and lime, tobacco, coffee, cannabis essential oil, vintage musks, vanilla, cumin, Atlas cedar"
Alchemico Eau de Parfum,Mazzolari," Rose, cypress, pepper, incense, geranium, vetiver, amber"
Fougere Nobile Eau de Parfum,Nobile 1942," Bergamot, basil absolute, lavender, black pepper, elemi, geranium, aldehydes, tobacco, vetiver, tonka bean, patchouli, sandalwood, white musk"
Mortal Skin Eau de Parfum,Stephane Humbert Lucas 777," Blackberry, Ink, Rockrose, Opoponax, Iris, Davana, Myrrh, Cardamom, Ambergris, Storax, Sandalwood, Labdanum, Civet, Atlas Cedarwood, Birch, Musk"
Spirituelle Eau de Cologne,Divine," Pink pepper, sichaun pepper, geranium, labdanum, rose, cedar, amber, musk, incense"
Black Amber perfume oil,Michele Bergman," Tunisian amber, vanilla, hint of patchouli"
She Came to Stay Eau de Parfum,Timothy Han Edition Perfumes," Geranium, basil, lemon, Indonesian clove, nutmeg, patchouli, vetiver, labdanum, oakmoss, cedarwood."
L'homme de Coeur Eau de Parfum,Divine," angelica, juniper berries, cypress, iris, vetiver, ambergris, wild vanilla"
L'Homme Sage Eau de Parfum,Divine," saffron, mandarin, cardamom, lychee, aromatic woods, immortelle (or everlasting flower), patchouli, oak moss, amber, incense"
